Ro Khanna,Democrat,House,CA,WASHOE COUNTY NEVADA,N/A,7 Feb,16 Jan 2024,20,Child,BUY,15K–50K,N/A,20003770896
Ro Khanna,Democrat,House,CA,NEW MEXICO FINANCE AUTHORITY,N/A,7 Feb,18 Jan 2024,18,Child,BUY,15K–50K,N/A,20003770897
Ro Khanna,Democrat,House,CA,COUNTY OF CUYAHOGA,N/A,7 Feb,17 Jan 2024,19,Child,BUY,15K–50K,N/A,20003770898
Ro Khanna,Democrat,House,CA,STATE OF OHIO,N/A,7 Feb,12 Jan 2024,24,Child,BUY,15K–50K,N/A,20003770899
Ro Khanna,Democrat,House,CA,OHIO WATER DEVELOPMENT AUTHORITY,N/A,7 Feb,16 Jan 2024,20,Child,BUY,15K–50K,N/A,20003770900
Ro Khanna,Democrat,House,CA,COLUMBUS CITY SCHOOL DISTRICT FRANKLIN COUNTY OHIO,N/A,7 Feb,24 Jan 2024,12,Child,BUY,15K–50K,N/A,20003770901
Ro Khanna,Democrat,House,CA,RHODE ISLAND HEALTH AND EDUCATIONAL BUILDING CORP,N/A,7 Feb,12 Jan 2024,24,Child,BUY,15K–50K,N/A,20003770902
Ro Khanna,Democrat,House,CA,STATE OF OHIO,N/A,7 Feb,12 Jan 2024,24,Child,BUY,15K–50K,N/A,20003770903
Ro Khanna,Democrat,House,CA,CITY OF TALLAHASSEE FLORIDA,N/A,7 Feb,16 Jan 2024,20,Child,BUY,15K–50K,N/A,20003770904
Ro Khanna,Democrat,House,CA,CITY OF JACKSONVILLE FLORIDA,N/A,7 Feb,16 Jan 2024,20,Child,BUY,15K–50K,N/A,20003770905
Ro Khanna,Democrat,House,CA,STATE OF OHIO,N/A,7 Feb,25 Jan 2024,11,Child,BUY,1K–15K,N/A,20003770906
Ro Khanna,Democrat,House,CA,CITY OF CINCINNATI,N/A,7 Feb,12 Jan 2024,24,Child,BUY,1K–15K,N/A,20003770907
