Markwayne Mullin,Republican,Senate,OK,MCCLAIN COUNTY ECONOMIC DEVELOPMENT AUTHORITY,N/A,15 Feb,24 Jan 2024,22,Joint,BUY,100K–250K,N/A,10000062142
Markwayne Mullin,Republican,Senate,OK,COUNTY OF TULSA,N/A,15 Feb,23 Jan 2024,23,Joint,BUY,100K–250K,N/A,10000062143
Markwayne Mullin,Republican,Senate,OK,OKLAHOMA DEVELOPMENT FINANCE AUTHORITY,N/A,15 Feb,19 Jan 2024,27,Joint,BUY,100K–250K,N/A,10000062144
Markwayne Mullin,Republican,Senate,OK,UNIVERSITY OF OKLAHOMA,N/A,15 Feb,18 Jan 2024,28,Joint,BUY,50K–100K,N/A,10000062145
Bob Latta,Republican,House,OH,Farmers & Merchants Bancorp Inc,FMAO:US,15 Feb,22 Jan 2024,23,Spouse,BUY,1K–15K,23.26,20003770941
Tommy Tuberville,Republican,Senate,AL,Intel Corp,INTC:US,14 Feb,24 Jan 2024,21,Joint,SELL,15K–50K,N/A,10000062081
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Feb,22 Jan 2024,23,Joint,SELL,1K–15K,N/A,10000062082
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Feb,22 Jan 2024,23,Joint,SELL,1K–15K,N/A,10000062083
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Feb,22 Jan 2024,23,Joint,SELL,1K–15K,N/A,10000062084
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Feb,22 Jan 2024,23,Joint,SELL,1K–15K,N/A,10000062085
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Feb,22 Jan 2024,23,Joint,SELL,1K–15K,N/A,10000062086
Tommy Tuberville,Republican,Senate,AL,Southern Copper Corp,SCCO:US,14 Feb,22 Jan 2024,23,Joint,SELL,1K–15K,80.42,10000062087
