Daniel S. Goldman,Democrat,House,NY,British American Tobacco PLC,BTI:US,21 Mar,27 Feb 2023,21,Undisclosed,BUY,15K–50K,38.64,20003761226
Daniel S. Goldman,Democrat,House,NY,CENTRAL JAPAN RAILWAY CORP,CJPRY:US,21 Mar,27 Feb 2023,21,Undisclosed,SELL,15K–50K,11.219,20003761227
Daniel S. Goldman,Democrat,House,NY,CF Industries Holdings Inc,CF:US,21 Mar,3 Feb 2023,45,Undisclosed,SELL,1K–15K,85.93,20003761228
Daniel S. Goldman,Democrat,House,NY,CHERRY HILL TOWNSHIP SCHOOL DISTRICT,N/A,21 Mar,24 Feb 2023,24,Undisclosed,SELL,250K–500K,N/A,20003761229
Daniel S. Goldman,Democrat,House,NY,Chugai Pharmaceutical Co Ltd,CHGCY:US,21 Mar,27 Feb 2023,21,Undisclosed,BUY,1K–15K,12.582,20003761230
Daniel S. Goldman,Democrat,House,NY,The Coca-Cola Co,KO:US,21 Mar,3 Feb 2023,45,Undisclosed,SELL,1K–15K,59.83,20003761231
Daniel S. Goldman,Democrat,House,NY,CITY OF COLUMBUS OHIO,N/A,21 Mar,15 Feb 2023,33,Undisclosed,SELL,1K–15K,N/A,20003761232
Daniel S. Goldman,Democrat,House,NY,"Commerzbank AG, Frankfurt",CRZBY:US,21 Mar,27 Feb 2023,21,Undisclosed,BUY,1K–15K,11.826,20003761233
Daniel S. Goldman,Democrat,House,NY,Credit Suisse Group,CS:US,21 Mar,27 Feb 2023,21,Undisclosed,BUY,1K–15K,3.06,20003761234
Daniel S. Goldman,Democrat,House,NY,CSL Ltd,CSLLY:US,21 Mar,27 Feb 2023,21,Undisclosed,BUY,15K–50K,100.199,20003761235
Daniel S. Goldman,Democrat,House,NY,CME Group Inc,CME:US,21 Mar,10 Feb 2023,38,Undisclosed,SELL,1M–5M,N/A,20003761236
Daniel S. Goldman,Democrat,House,NY,Daikin Industries Ltd,DKILY:US,21 Mar,27 Feb 2023,21,Undisclosed,BUY,15K–50K,17.21,20003761237
