Ro Khanna,Democrat,House,CA,Sysco Corporation,SYY:US,8 Mar,23 Feb 2024,12,Spouse,BUY,1K–15K,80.82,20003771542
Ro Khanna,Democrat,House,CA,KeyCorp,KEY:US,8 Mar,26 Feb 2024,9,Spouse,BUY,1K–15K,13.68,20003771543
Ro Khanna,Democrat,House,CA,Truist Financial Corp,TFC:US,8 Mar,2 Feb 2024,33,Spouse,SELL,1K–15K,36.79,20003771544
Ro Khanna,Democrat,House,CA,KKR & Co Inc,KKR:US,8 Mar,6 Feb 2024,29,Spouse,SELL,1K–15K,93.58,20003771545
Ro Khanna,Democrat,House,CA,KKR & Co Inc,KKR:US,8 Mar,15 Feb 2024,20,Spouse,SELL,1K–15K,96.22,20003771546
Ro Khanna,Democrat,House,CA,KKR & Co Inc,KKR:US,8 Mar,1 Feb 2024,34,Spouse,SELL,1K–15K,88.15,20003771547
Ro Khanna,Democrat,House,CA,Truist Financial Corp,TFC:US,8 Mar,1 Feb 2024,34,Spouse,SELL,1K–15K,36.5,20003771548
Ro Khanna,Democrat,House,CA,Discover Financial Services,DFS:US,8 Mar,26 Feb 2024,9,Spouse,SELL,1K–15K,N/A,20003771549
Ro Khanna,Democrat,House,CA,UNIVERSITY OF CINCINNATI,N/A,8 Mar,2 Feb 2024,33,Child,BUY,1K–15K,N/A,20003771550
Ro Khanna,Democrat,House,CA,Visa Inc,V:US,8 Mar,13 Feb 2024,22,Spouse,BUY,1K–15K,275.81,20003771551
Ro Khanna,Democrat,House,CA,ISHARES MONTH TREAS BOND ETF,SGOV:US,8 Mar,13 Feb 2024,22,Spouse,SELL,1K–15K,100.45,20003771552
Ro Khanna,Democrat,House,CA,Visa Inc,V:US,8 Mar,13 Feb 2024,22,Child,BUY,1K–15K,275.81,20003771553
