Bill Keating,Democrat,House,MA,Boeing Co,BA:US,06:05,8 Feb 2024,33,Undisclosed,SELL,15K–50K,N/A,20003771581
Bill Keating,Democrat,House,MA,Boeing Co,BA:US,06:05,28 Feb 2024,13,Undisclosed,SELL,1K–15K,207.0,20003771582
Bill Keating,Democrat,House,MA,Capital One Financial Corp,COF:US,06:05,7 Mar 2024,5,Undisclosed,BUY,1K–15K,N/A,20003771583
Bill Keating,Democrat,House,MA,TransDigm Group Inc,TDG:US,06:05,28 Feb 2024,13,Undisclosed,BUY,1K–15K,"1,172.0",20003771584
Bill Keating,Democrat,House,MA,United Rentals Inc,URI:US,06:05,28 Feb 2024,13,Undisclosed,SELL,1K–15K,686.19,20003771585
Michael Guest,Republican,House,MS,NVIDIA Corporation,NVDA:US,06:05,20 Feb 2024,21,Spouse,BUY,1K–15K,694.52,20003771573
Kevin Hern,Republican,House,OK,Accenture PLC,ACN:US,06:05,20 Feb 2024,21,Joint,BUY,1K–15K,362.95,20003771574
Kevin Hern,Republican,House,OK,CITIGROUP GLOBAL MKTS HLDGS,N/A,06:05,23 Feb 2024,18,Joint,SELL,250K–500K,N/A,20003771575
Kevin Hern,Republican,House,OK,Marsh & McLennan Companies Inc,MMC:US,06:05,15 Feb 2024,26,Joint,BUY,1K–15K,200.99,20003771576
Kevin Hern,Republican,House,OK,ONEOK Inc,OKE:US,06:05,14 Feb 2024,27,Joint,BUY,1K–15K,69.11,20003771577
Kevin Hern,Republican,House,OK,ONEOK Inc,OKE:US,06:05,14 Feb 2024,27,Joint,BUY,1K–15K,69.11,20003771578
Kevin Hern,Republican,House,OK,Texas Instruments Inc,TXN:US,06:05,13 Feb 2024,28,Undisclosed,BUY,1K–15K,156.85,20003771579
