Neal Dunn,Republican,House,FL,Wells Fargo & Co,WFC:US,29 May,5 May 2023,21,Undisclosed,BUY,1K–15K,16.96,20003763471
Neal Dunn,Republican,House,FL,Wells Fargo & Co,WFC:US,29 May,5 May 2023,21,Spouse,BUY,1K–15K,16.96,20003763472
Neal Dunn,Republican,House,FL,Wells Fargo & Co,WFC:US,29 May,5 May 2023,21,Undisclosed,BUY,1K–15K,22.58,20003763473
John Boozman,Republican,Senate,AR,THE ADVISORS INNER CIRCLE FUND WESTWOOD GLOBAL EQUITY FUND,WWGEX:US,26 May,13 Apr 2023,43,Undisclosed,SELL,1K–15K,N/A,10000061015
John Boozman,Republican,Senate,AR,SPDR S&P Regional Banking ETF,KRE:US,26 May,13 Apr 2023,43,Undisclosed,BUY,1K–15K,43.15,10000061016
John Rutherford,Republican,House,FL,SUNSHINE GROUP PARTNERS,N/A,26 May,28 Apr 2023,27,Undisclosed,BUY,1K–15K,N/A,20003763461
Suzan DelBene,Democrat,House,WA,SPRING INDEPENDENT SCHOOL DISTRICT,N/A,25 May,3 May 2023,22,Joint,BUY,15K–50K,N/A,20003763460
Adrian Smith,Republican,House,NE,CARTERBALDWIN,N/A,24 May,19 Jan 2022,489,Spouse,BUY,1K–15K,N/A,20003763457
Adrian Smith,Republican,House,NE,CARTERBALDWIN,N/A,24 May,18 Jun 2022,339,Spouse,BUY,1K–15K,N/A,20003763458
Adrian Smith,Republican,House,NE,CARTERBALDWIN,N/A,24 May,1 Feb 2023,111,Spouse,BUY,1K–15K,N/A,20003763459
Scott Franklin,Republican,House,FL,Apple Inc,AAPL:US,24 May,19 Apr 2023,34,Joint,SELL,1K–15K,167.63,20003763439
Scott Franklin,Republican,House,FL,Comcast Corp,CMCSA:US,24 May,19 Apr 2023,34,Undisclosed,BUY,50K–100K,38.25,20003763440
