Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,31 Aug,7 Aug 2023,21,Undisclosed,SELL,15K–50K,78.29,20003766876
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,31 Aug,8 Aug 2023,20,Undisclosed,BUY,15K–50K,77.89,20003766877
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,31 Aug,7 Aug 2023,21,Undisclosed,SELL,15K–50K,78.29,20003766878
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,31 Aug,8 Aug 2023,20,Undisclosed,BUY,15K–50K,77.89,20003766879
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,31 Aug,7 Aug 2023,21,Spouse,SELL,15K–50K,78.29,20003766880
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,31 Aug,8 Aug 2023,20,Spouse,BUY,15K–50K,77.89,20003766881
Gary Peters,Democrat,Senate,MI,ELMWOOD PARK COMMUNITY UNIT SCHOOL DISTRICT 401,N/A,29 Aug,28 Jul 2023,32,Self,BUY,1K–15K,N/A,10000061277
Bill Keating,Democrat,House,MA,PepsiCo Inc,PEP:US,29 Aug,10 Aug 2023,18,Undisclosed,BUY,15K–50K,N/A,20003766875
Seth Moulton,Democrat,House,MA,DIVERGENT TECHNOLOGIES INC,1494391D:US,28 Aug,2 Aug 2023,24,Joint,BUY,50K–100K,31.675,20003766873
Seth Moulton,Democrat,House,MA,SUCKERZ INC,N/A,28 Aug,30 Jul 2023,27,Joint,BUY,15K–50K,N/A,20003766874
Lois Frankel,Democrat,House,FL,Fluor Corp,FLR:US,28 Aug,4 Aug 2023,22,Undisclosed,SELL,1K–15K,35.94,20003766852
Lois Frankel,Democrat,House,FL,Insperity Inc,NSP:US,28 Aug,7 Aug 2023,19,Undisclosed,SELL,1K–15K,97.4,20003766853
