Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount,Last Save ID,Last Sale ID,Transaction ID,Reporting Gap
Bill Keating,CCI,11.098495521934735,[20001637730],[20003721170],8000.0,8000.0,20003721170,20003721170,20003721170,37
Bill Keating,COF,-2.0203754277990447,"[20001637724, 20003758008]",[20003765471],16000.0,8000.0,20003765471,20003765471,20003765471,19
Bill Keating,CVS,-1.3709472721998783,[20001637731],[20003764502],8000.0,8000.0,20003764502,20003764502,20003764502,7
Bill Keating,CVX,-45.37102111952348,[20001637728],[20001637727],8000.0,8000.0,20001637727,20001637727,20001637727,13
Bill Keating,EA,2.1345024252028204,[20001637732],[20003765647],8000.0,8000.0,20003765647,20003765647,20003765647,11
Bill Keating,FI,-17.37428970868705,[20001637734],[20003714213],8000.0,8000.0,20003714213,20003714213,20003714213,31
Bill Keating,MDT,-5.046634230211933,[20001637743],[20003721171],8000.0,8000.0,20003721171,20003721171,20003721171,37
Bill Keating,MS,5.127633998507501,[20001637748],[20003756298],32500.0,32500.0,20003756298,20003756298,20003756298,17
Bill Keating,NFLX,-60.08527563292059,[20001637749],[20003749010],32500.0,32500.0,20003749010,20003749010,20003749010,29
Bill Keating,ORCL,-5.374041300373149,[20001671207],[20003755511],32500.0,32500.0,20003755511,20003755511,20003755511,45
Bill Keating,ROST,-16.457785795812597,[20001637756],[20003755512],8000.0,8000.0,20003755512,20003755512,20003755512,51
Bill Keating,SU,-103.07570177465972,[20001637758],[20001637759],8000.0,8000.0,20001637759,20001637759,20001637759,13
Bill Keating,T,-9.927671489002002,[20001671204],[20003770448],32500.0,32500.0,20003770448,20003770448,20003770448,18
Bill Keating,URI,38.317784893858295,[20001637760],[20003771585],8000.0,8000.0,20003771585,20003771585,20003771585,13
Bill Keating,VLO,46.582156687798864,[20001671208],[20001671209],32500.0,32500.0,20001671209,20001671209,20001671209,5
Bill Keating,VRSN,51.49196889261834,"[20001637763, 20001637764]",[20002751781],16000.0,8000.0,20002751781,20002751781,20002751781,40
Blake Moore,AAPL,10.77819539783847,"[20002567879, 20002567880, 20002567881, 20003710872, 20003770385]","[20003770382, 20003770383, 20003770384]",40000.0,48500.0,20003770384,20003770384,20003770384,5
Blake Moore,AMZN,105.26026078473801,[20002567866],[20002567867],8000.0,8000.0,20002567867,20002567867,20002567867,75
Blake Moore,AMZN,-3.041909416871772,[20002567868],"[20003770376, 20003770377, 20003770378]",8000.0,48500.0,20003770378,20003770378,20003770378,5
Blake Moore,AXP,8.269638488146397,"[20002567870, 20002567869]","[20003770379, 20003770380, 20003770381]",16000.0,48500.0,20003770381,20003770381,20003770381,5
Blake Moore,BA,3.6613317048016296,[20003670737],[20003770392],8000.0,8000.0,20003770392,20003770392,20003770392,15
Blake Moore,BABA,-60.986046354866126,"[20002567857, 20002567858]","[20003689266, 20003689264]",16000.0,16000.0,20003689264,20003689264,20003689264,28
Blake Moore,BABA,-22.396680154193405,"[20003689265, 20003707973]",[20003770373],16000.0,8000.0,20003770373,20003770373,20003770373,5
Blake Moore,BAC,-6.484295759474545,"[20002567884, 20002567883, 20002567882, 20003670735]","[20003770386, 20003770387, 20003770388]",32000.0,24000.0,20003770388,20003770388,20003770388,5
Blake Moore,DIS,-18.446693332116528,[20003670740],"[20003770411, 20003770412]",8000.0,16000.0,20003770412,20003770412,20003770412,5
Blake Moore,HQY,0.10576970184338391,"[20002567904, 20002567905, 20002567906, 20002567907]","[20003770393, 20003770394]",32000.0,16000.0,20003770394,20003770394,20003770394,5
Blake Moore,JNJ,-0.4655033834581911,"[20002567909, 20002567908]","[20003770395, 20003770396]",16000.0,16000.0,20003770396,20003770396,20003770396,5
Blake Moore,MSFT,22.830717864626944,"[20002567919, 20002567920, 20002567915]","[20003770400, 20003770401, 20003770402]",24000.0,48500.0,20003770402,20003770402,20003770402,5
Blake Moore,RTX,1.5661426499508264,"[20002567928, 20002567926, 20002567927]","[20003770403, 20003770404]",24000.0,16000.0,20003770404,20003770404,20003770404,5
